drug_name
地高辛
洋地黄
毒毛花苷K
毛花苷丙
去乙酰毛花苷
米力农
强利尿剂
奎尼丁
普鲁卡因胺
丙吡胺
安他唑啉
利多卡因
美西律
阿普林定
普罗帕酮
莫雷西嗪
胺碘酮
溴苄铵
维拉帕米 
腺苷
索他洛尔
硝普钠
二氮嗪
肼屈嗪
米诺地尔
地巴唑
乌拉地尔
哌唑嗪
酚苄明
酚妥拉明
妥拉唑林
可乐定
甲基多巴
利血平
降压灵
硝酸甘油
西地那非
硝酸异山梨酯
单硝酸异山梨酯
曲美他嗪
环磷腺苷
三磷酸腺苷
辛伐他汀
普伐他汀
氟伐他汀
瑞舒伐他汀
洛伐他汀
非诺贝特
吉非罗齐
苯扎贝特
烟酸
阿昔莫司 
维生素E烟酸酯
普罗布考
依折麦布
亚硝酸异戊酯
阿托伐他汀
